runids hlt
5695fcd79151b1e3eba88e3d1da21e8c5ee8a7cf NA
ae0314965d78a5edf14a06df1b0775c9437a9eb6 96899.718194898
866921b4bf3781f01049e3a853ed7654e8156559 38536.4905312503
002d92544d123174555f53424b97f57a050024ed 125095.261395623
f2f4291a60fbe857821681fb681db77cdd307ad4 119940.514232855
eb46e5f4a46f52af856d3f4366ed57182f000540 132100.593085976
27bf0949a1ba5b7406e0bd064c211ea164a1cc6a 113729.622896861
00b9ee22e4c9be81988f2bdb4154e64a59d289f5 116139.223001906
7b3e05dbeef9b265d6f16f0b32693e84e69b19f6 6172.62499978581
e71f2acaa7faa0df5a9cfc4d4f261737ca0aea81 85476.9854396637
762888011d08111c27f6b36ae599f7ea1293f94e 51107.1636785307
25b1c6dfe796f143869c659bf2410db6b1e7611a 55524.6266890716
057fc2fea0f5bb4572cf5a5c74035df20bad56ea 68691.8593437584
fffb18fb20a7357fecc8e200d539a7846a2df149 47381.518
a59606f50c55ac0c928224c3f4e3e5d2b0f03797 159578.716264494
c4e978fd2ad1f89fcf580a4a3cea6182ea84c0aa 125406.488960296
8ae4c0a30174e3bf5bfd31eab6169792c890600c 96984.7208155929
8097d79f4613a42252b0a2f9d5213ef42a9641dc 123529.303940308
bae614f49a60fee4db1a05ae5593e6ca66a68948 122536.777860142
6595f2986a5e0885e17226d23608adf8ac35f8b5 105756.070911747
950c4daa2bb4f01e8aa8d92036bb73561d391af0 118738.064863591
acab9d9f036c7701a807355acf21f7ab62b0fb7f 99518.6258565578
c6441230eae4da098e506c731d12fa1d85bf9142 80672.3357616593
c8abab3843ca59778245b115eb1b86f879738b16 80220.5546224679
8a342a66f43fab545f00095428771fe1aa4b1ee1 59989.5279065827
a2aa64ce2dbb32243846ddac67907f11c8cf9157 52585.9614236416
d1ef1737b677bea591e251f8ec7b5e93271519b7 17195.0097341812
3454d241bdb8671fb9cc9b6c6fa24ae9279e89d4 43699.866
a0b9c32f14accd72c7c78322e4dd3cd3ebe54a45 27782.6273966767
a19ae7dbc4e98d6d433c439ab9c17c485eaa038f 18353.409
ed6084032fa5f3d179183e4dae75c0802de27300 26679.7029515204
18bff7b0079ca60eb10c4ba6847baac48b7d478e 85523.5374837227
5db9668cd7ffc456a22fda29c663dbc926db6ddd 41655.0855231844
ad13b3e8f1b963e5d23ab145d22d086f80ca8c98 27110.0260697263
a78608ae73dd756dbb9da8893c287a0d12a2d5b8 65952.1895359417
bf7c98609c4490274c25f2864246d209662f779f 125590.993279803
72e79e840903103566a33bc797bf53c4279126a4 150545.30100788
8b220b327a2441e0cc1174e8b011c46d0c2394ad 92389.9561681424
4d641722891f373da1e38aadd9a94c2ce2fbaafb 90620.0700583026
7e9e6a0cd189dbd2a82e7d346ab4ae7ff13c5231 118152.400878036
1ad29a86946fd0a21e0a24324e6c2fc3c028d262 181094.673210121
